Nummer;Name;Kategorie;Einheit;Preis;USt;Barcode;Verfügbar;Lager;Beschreibung;Kommentar
;24 Erklärung zur gesonderten Feststellung der 2024 20254 (6/10);A;6/10;1,00;19;;true;;;
;Einkünfte ohne Ermittlung der Einkünfte;Rg Form 1;;1,00;19;;true;;;
;24 Einkommensteuererklärung ohne Ermittlung 2024 20254 (6/10);A;6/10;1,00;19;;true;;;
;der Einkünfte;Rg Form 1;;1,00;19;;true;;;
;24 Erklärung zur Feststellung nach dem 20254 (6/10);A;6/10;1,00;19;;true;;;
;Bewertungsgesetz auf den Stichtag: 31.10.2025;Rg Form 1;;1,00;19;;true;;;
;24 Schenkungs- oder Erbschaftsteuererklärung 20254 (6/10);A;6/10;1,00;19;;true;;;
;auf den Stichtag: 31.10.2025;Rg Form 1;;1,00;19;;true;;;
;24 Kapitalertragsteueranmeldung zum: 25.07.2025 8000 (6/10);A;6/10;1,00;19;;true;;;
;24 Umsatzsteuerjahreserklärung 2024 20254 (6/10);A;6/10;1,00;19;;true;;;
;24 Gewerbesteuererklärung 2024 20254 (6/10);A;6/10;1,00;19;;true;;;
;24 Körperschaftsteuererklärung 2024 20254 (6/10);A;6/10;1,00;19;;true;;;
;24 Gewerbesteuerzerlegungserklärung 2024 20254 (6/10);A;6/10;1,00;19;;true;;;
;24 Umsatzsteuervoranmeldung 2024 20254 (6/10);A;6/10;1,00;19;;true;;;
;25 Überschußermittlung bei den Einkünften aus 2024 26173 (3/10);B;3/10;1,00;19;;true;;;
;Land und Forstwirtschaft;Rg Form 1;;1,00;19;;true;;;
;25 Überschußermittlung bei den Einkünften aus 2024 26173 (3/10);B;3/10;1,00;19;;true;;;
;Gewerbebetrieb;Rg Form 1;;1,00;19;;true;;;
;25 Überschußermittlung bei den Einkünften aus 2024 26173 (3/10);B;3/10;1,00;19;;true;;;
;selbständiger Arbeit;Rg Form 1;;1,00;19;;true;;;
;27 Überschußermittlung bei den Einkünften aus 74906 (3/10);A;3/10;1,00;19;;true;;;
;nichtselbständiger Arbeit - Herr Kühn 2024;Rg Form 1;;1,00;19;;true;;;
;27 Überschußermittlung bei den Einkünften aus 2024 40972 (6/10);A;6/10;1,00;19;;true;;;
;Vermietung und Verpachtung;Rg Form 1;;1,00;19;;true;;;
;Objekt: Am Hopfengarten;Rg Form 1;;1,00;19;;true;;;
;27 Überschußermittlung bei den Einkünften aus 26173 (3/10);A;3/10;1,00;19;;true;;;
;Kapitalvermögen - Herr Kühn 2024;Rg Form 1;;1,00;19;;true;;;
;27 Überschußermittlung der sonstigen Einkünfte 12040 (3/10);A;3/10;1,00;19;;true;;;
;hier: Renteneinkünfte 2024;Rg Form 1;;1,00;19;;true;;;
;23 Antrag auf Vergütung der abziehbaren Vor- 4673 (6/10);A;6/10;1,00;19;;true;;;
;steuerbeträge für Schweden 2024;Rg Form 1;;1,00;19;;true;;;
;33 Hilfeleistung bei sonstigen Tätigkeiten im 120 (55/10);Zeitgeb.;55/10;1,00;19;;true;;;
;Zusammenhang mit der Führung steuerlicher;Rg Form 1;;1,00;19;;true;;;
;Aufzeichnungen - Zusammenstellung von;Rg Form 1;;1,00;19;;true;;;
;Vorsteuervergütungsbeträgen f. Schweden 2024,;Rg Form 1;;1,00;19;;true;;;
;Umrechnungen nach amtl. Kurs, Digitalisierung der;Rg Form 1;;1,00;19;;true;;;
;Rechnungsbelege;Rg Form 1;;1,00;19;;true;;;
;28 Prüfung von Steuerbescheiden 120 (10/10);Zeitgeb.;10/10;1,00;19;;true;;;
;Einkommensteuerbescheid 2022 am 16.06.2022;Rg Form 1;;1,00;19;;true;;;
;40 außergerichtliches Rechtsbehelfsverfahren gg. 12542 (15/10);"2300 VV; §13 RVG";15/10;1,00;19;;true;;;
;den EStB für 2022 ((0,5-2,5));Rg Form 1;(0,5-2,5);1,00;19;;true;;;
;35 Jahresabschluß 2024 3708539.2199999997 (29/10);B;29/10;1,00;19;;true;;;
;35 Steuerbilanz und -GuV 2024 3520943.2199999997 (5/10);B;5/10;1,00;19;;true;;;
;35 Anhang 2024 3708539.2199999997 (2/10);B;2/10;1,00;19;;true;;;
;35 Übergangs- u. Aufgabebilanz zum 30.06.2024 300 (16,75/10);B;16,75/10;1,00;19;;true;;;
;mit Übergangs- u. Aufgabegewinnermittlung;Rg Form 1;;1,00;19;;true;;;
;21 mündlicher oder schriftlicher Rat oder Auskunft 150000 (3/10);A;3/10;1,00;19;;true;;;
;Beratung hinsichtlich der Einkommens-;Rg Form 1;;1,00;19;;true;;;
;besteuerung bei Wegzug in das Ausland,;Rg Form 1;;1,00;19;;true;;;
;insbesondere:;Rg Form 1;;1,00;19;;true;;;
;Steueroasenproblematik, Besteuerung im;Rg Form 1;;1,00;19;;true;;;
;Wegzugsjahr, Besteuerung von Kapitalerträgen,;Rg Form 1;;1,00;19;;true;;;
;Beurteilung der Ansässigkeit;Rg Form 1;;1,00;19;;true;;;
;(1/10 bis 10/10 einer Gebühr nach Tabelle A);Rg Form 1;;1,00;19;;true;;;
;16 Auslagenersatz für Post- und;Rg Form 1;;1,00;19;;true;;;
;Telekommunikation;Rg Form 1;;1,00;19;;true;;;
UST19;USt 19%;Rg Form 1;;1,00;19;;true;;;
;Rechnungsendbetrag;Rg Form 1;;1,00;19;;true;;;
;Bitte überweisen Sie die Summe ohne Abzüge innerhalb von 14 Tagen auf das angegebene Konto.;Rg Form 1;;1,00;19;;true;;;
;Steuernummer: 014 801 32096;Rg Form 1;;1,00;19;;true;;;
;34 Löhne/Gehälter 10/2024;Rg Form 2 Lohn;;1,00;19;;true;;;
;- Einrichten von Lohnkonten 14;Rg Form 2 Lohn;;1,00;19;;true;;;
;- Lohnabrechnungen inkl. Sozialvers.-meldungen 13;Rg Form 2 Lohn;;1,00;19;;true;;;
;Mengenrabatt 1 -1;Rg Form 2 Lohn;;1,00;19;;true;;;
;Mengenrabatt 2 -3;Rg Form 2 Lohn;;1,00;19;;true;;;
;34 Löhne/Gehälter 11/2024;Rg Form 2 Lohn;;1,00;19;;true;;;
;- Einrichten von Lohnkonten 14;Rg Form 2 Lohn;;1,00;19;;true;;;
;- Lohnabrechnungen inkl. Sozialvers.-meldungen 13;Rg Form 2 Lohn;;1,00;19;;true;;;
;Mengenrabatt 1 -1;Rg Form 2 Lohn;;1,00;19;;true;;;
;Mengenrabatt 2 -3;Rg Form 2 Lohn;;1,00;19;;true;;;
;16 Auslagenersatz für Post- und;Rg Form 2 Lohn;;1,00;19;;true;;;
;Telekommunikation;Rg Form 2 Lohn;;1,00;19;;true;;;
UST16;USt 16%;Rg Form 2 Lohn;;1,00;19;;true;;;
;Rechnungsendbetrag;Rg Form 2 Lohn;;1,00;19;;true;;;
;Bitte überweisen Sie die Summe ohne Abzüge innerhalb von 14 Tagen auf das angegebene Konto.;Rg Form 2 Lohn;;1,00;19;;true;;;
;Steuernummer: 014 801 32096;Rg Form 2 Lohn;;1,00;19;;true;;;
;33 Buchführung einschließlich des Kontierens der;Rg Form 3 Fibu;;1,00;19;;true;;;
;der Belege für:;Rg Form 3 Fibu;;1,00;19;;true;;;
;2024-04-01 00:00:00 2024-06-07 00:00:00 207248.48 (2072485/10);C;2072485/10;1,00;19;;true;;;
;2024-05-01 00:00:00 2024-07-10 00:00:00 207248.48 (2072485/10);C;2072485/10;1,00;19;;true;;;
;2024-06-01 00:00:00 2024-08-07 00:00:00 207248.48 (2072485/10);C;2072485/10;1,00;19;;true;;;
;16 Auslagenersatz für Post- und 206.31 (2063/10);Rg Form 3 Fibu;2063/10;1,00;19;;true;;;
;Telekommunikation;Rg Form 3 Fibu;;1,00;19;;true;;;
UST19;USt 19% (USt 19%);Rg Form 3 Fibu;USt 19%;1,00;19;;true;;;
;Rechnungsendbetrag (Rechnungsendbetrag);Rg Form 3 Fibu;Rechnungsendbetrag;1,00;19;;true;;;
;Bitte überweisen Sie die Summe ohne Abzüge innerhalb von 14 Tagen auf das angegebene Konto.;Rg Form 3 Fibu;;1,00;19;;true;;;
;Steuernummer: 014 801 32096;Rg Form 3 Fibu;;1,00;19;;true;;;
;29 Teilnahme an der Prüfung der DRV für 120 (40/10);Zeitgeb.;40/10;1,00;19;;true;;;
20182021;2018-2021;Rg Form 4 - Prüfungen;;1,00;19;;true;;;
;- Vorbereitung der Prüfung und Zusammen-;Rg Form 4 - Prüfungen;;1,00;19;;true;;;
;stellung von Unterlagen vom 02.-17.01.2022;Rg Form 4 - Prüfungen;;1,00;19;;true;;;
;- Beantwortung von Prüfunganfragen am 03.02.2022;Rg Form 4 - Prüfungen;;1,00;19;;true;;;
;und am 08.03.2022;Rg Form 4 - Prüfungen;;1,00;19;;true;;;
;- Abschluß der Prüfung durch Prüfung des Prüfberichts;Rg Form 4 - Prüfungen;;1,00;19;;true;;;
;am 15.03.2022;Rg Form 4 - Prüfungen;;1,00;19;;true;;;
;16 Auslagenersatz für Post- und 96;Rg Form 4 - Prüfungen;;1,00;19;;true;;;
;Telekommunikation;Rg Form 4 - Prüfungen;;1,00;19;;true;;;
UST19;USt 19%;Rg Form 4 - Prüfungen;;1,00;19;;true;;;
;Rechnungsendbetrag;Rg Form 4 - Prüfungen;;1,00;19;;true;;;
;Bitte überweisen Sie die Summe ohne Abzüge innerhalb von 14 Tagen auf das angebenene Konto.;Rg Form 4 - Prüfungen;;1,00;19;;true;;;
;Steuernummer: 014 801 32096;Rg Form 4 - Prüfungen;;1,00;19;;true;;;
;Leistungen außerhalb der StBVV;Rg Form 5 - pauschal;;1,00;19;;true;;;
;Bitte überweisen Sie den Betrag ohne Abzüge innerhalb von 14 Tagen auf das angegebene Konto.;Rg Form 5 - pauschal;;1,00;19;;true;;;
;Steuernummer: 014 801 32096;Rg Form 5 - pauschal;;1,00;19;;true;;;
